symboling,marca,carburante,aspirazione,porte,trazione,lunghezza,larghezza,altezza,peso,cilindri,cilindrata,cavalli,mpgcitta,mpgautostrada,prezzo
3,alfa-romero,gas,std,2,rwd,168.8,64.1,48.8,2548,4,130,111,21,27,13495
3,alfa-romero,gas,std,2,rwd,168.8,64.1,48.8,2548,4,130,111,21,27,16500
1,alfa-romero,gas,std,2,rwd,171.2,65.5,52.4,2823,6,152,154,19,26,16500
2,audi,gas,std,4,fwd,176.6,66.2,54.3,2337,4,109,102,24,30,13950
2,audi,gas,std,4,4wd,176.6,66.4,54.3,2824,5,136,115,18,22,17450
2,audi,gas,std,2,fwd,177.3,66.3,53.1,2507,5,136,110,19,25,15250
1,audi,gas,std,4,fwd,192.7,71.4,55.7,2844,5,136,110,19,25,17710
1,audi,gas,std,4,fwd,192.7,71.4,55.7,2954,5,136,110,19,25,18920
1,audi,gas,turbo,4,fwd,192.7,71.4,55.9,3086,5,131,140,17,20,23875
0,audi,gas,turbo,2,4wd,178.2,67.9,52,3053,5,131,160,16,22,11000
2,bmw,gas,std,2,rwd,176.8,64.8,54.3,2395,4,108,101,23,29,16430
0,bmw,gas,std,4,rwd,176.8,64.8,54.3,2395,4,108,101,23,29,16925
0,bmw,gas,std,2,rwd,176.8,64.8,54.3,2710,6,164,121,21,28,20970
0,bmw,gas,std,4,rwd,176.8,64.8,54.3,2765,6,164,121,21,28,21105
1,bmw,gas,std,4,rwd,189,66.9,55.7,3055,6,164,121,20,25,24565
0,bmw,gas,std,4,rwd,189,66.9,55.7,3230,6,209,182,16,22,30760
0,bmw,gas,std,2,rwd,193.8,67.9,53.7,3380,6,209,182,16,22,41315
0,bmw,gas,std,4,rwd,197,70.9,56.3,3505,6,209,182,15,20,36880
2,chevrolet,gas,std,2,fwd,141.1,60.3,53.2,1488,3,61,48,47,53,5151
1,chevrolet,gas,std,2,fwd,155.9,63.6,52,1874,4,90,70,38,43,6295
0,chevrolet,gas,std,4,fwd,158.8,63.6,52,1909,4,90,70,38,43,6575
1,dodge,gas,std,2,fwd,157.3,63.8,50.8,1876,4,90,68,37,41,5572
1,dodge,gas,std,2,fwd,157.3,63.8,50.8,1876,4,90,68,31,38,6377
1,dodge,gas,turbo,2,fwd,157.3,63.8,50.8,2128,4,98,102,24,30,7957
1,dodge,gas,std,4,fwd,157.3,63.8,50.6,1967,4,90,68,31,38,6229
1,dodge,gas,std,4,fwd,157.3,63.8,50.6,1989,4,90,68,31,38,6692
1,dodge,gas,std,4,fwd,157.3,63.8,50.6,1989,4,90,68,31,38,7609
1,dodge,gas,turbo,4,fwd,157.3,63.8,50.6,2191,4,98,102,24,30,8558
-1,dodge,gas,std,4,fwd,174.6,64.6,59.8,2535,4,122,88,24,30,8921
3,dodge,gas,turbo,2,fwd,173.2,66.3,50.2,2811,4,156,145,19,24,12964
2,honda,gas,std,2,fwd,144.6,63.9,50.8,1713,4,92,58,49,54,6479
2,honda,gas,std,2,fwd,144.6,63.9,50.8,1819,4,92,76,31,38,6855
1,honda,gas,std,2,fwd,150,64,52.6,1837,4,79,60,38,42,5399
1,honda,gas,std,2,fwd,150,64,52.6,1940,4,92,76,30,34,6529
1,honda,gas,std,2,fwd,150,64,52.6,1956,4,92,76,30,34,7129
0,honda,gas,std,4,fwd,163.4,64,54.5,2010,4,92,76,30,34,7295
0,honda,gas,std,4,fwd,157.1,63.9,58.3,2024,4,92,76,30,34,7295
0,honda,gas,std,2,fwd,167.5,65.2,53.3,2236,4,110,86,27,33,7895
0,honda,gas,std,2,fwd,167.5,65.2,53.3,2289,4,110,86,27,33,9095
0,honda,gas,std,4,fwd,175.4,65.2,54.1,2304,4,110,86,27,33,8845
0,honda,gas,std,4,fwd,175.4,62.5,54.1,2372,4,110,86,27,33,10295
0,honda,gas,std,4,fwd,175.4,65.2,54.1,2465,4,110,101,24,28,12945
1,honda,gas,std,2,fwd,169.1,66,51,2293,4,110,100,25,31,10345
0,isuzu,gas,std,4,rwd,170.7,61.8,53.5,2337,4,111,78,24,29,6785
1,isuzu,gas,std,2,fwd,155.9,63.6,52,1874,4,90,70,38,43,11000
0,isuzu,gas,std,4,fwd,155.9,63.6,52,1909,4,90,70,38,43,11000
2,isuzu,gas,std,2,rwd,172.6,65.2,51.4,2734,4,119,90,24,29,11048
0,jaguar,gas,std,4,rwd,199.6,69.6,52.8,4066,6,258,176,15,19,32250
0,jaguar,gas,std,4,rwd,199.6,69.6,52.8,4066,6,258,176,15,19,35550
0,jaguar,gas,std,2,rwd,191.7,70.6,47.8,3950,8,326,262,13,17,36000
1,mazda,gas,std,2,fwd,159.1,64.2,54.1,1890,4,91,68,30,31,5195
1,mazda,gas,std,2,fwd,159.1,64.2,54.1,1900,4,91,68,31,38,6095
1,mazda,gas,std,2,fwd,159.1,64.2,54.1,1905,4,91,68,31,38,6795
1,mazda,gas,std,4,fwd,166.8,64.2,54.1,1945,4,91,68,31,38,6695
1,mazda,gas,std,4,fwd,166.8,64.2,54.1,1950,4,91,68,31,38,7395
3,mazda,gas,std,2,rwd,169,65.7,49.6,2380,2,70,101,17,23,10945
3,mazda,gas,std,2,rwd,169,65.7,49.6,2380,2,70,101,17,23,11845
3,mazda,gas,std,2,rwd,169,65.7,49.6,2385,2,70,101,17,23,13645
3,mazda,gas,std,2,rwd,169,65.7,49.6,2500,2,80,135,16,23,15645
1,mazda,gas,std,2,fwd,177.8,66.5,53.7,2385,4,122,84,26,32,8845
0,mazda,gas,std,4,fwd,177.8,66.5,55.5,2410,4,122,84,26,32,8495
1,mazda,gas,std,2,fwd,177.8,66.5,53.7,2385,4,122,84,26,32,10595
0,mazda,gas,std,4,fwd,177.8,66.5,55.5,2410,4,122,84,26,32,10245
0,mazda,diesel,std,4,fwd,177.8,66.5,55.5,2443,4,122,64,36,42,10795
0,mazda,gas,std,4,fwd,177.8,66.5,55.5,2425,4,122,84,26,32,11245
0,mazda,gas,std,4,rwd,175,66.1,54.4,2670,4,140,120,19,27,18280
0,mazda,diesel,std,4,rwd,175,66.1,54.4,2700,4,134,72,31,39,18344
-1,mercedes-benz,diesel,turbo,4,rwd,190.9,70.3,56.5,3515,5,183,123,22,25,25552
-1,mercedes-benz,diesel,turbo,4,rwd,190.9,70.3,58.7,3750,5,183,123,22,25,28248
0,mercedes-benz,diesel,turbo,2,rwd,187.5,70.3,54.9,3495,5,183,123,22,25,28176
-1,mercedes-benz,diesel,turbo,4,rwd,202.6,71.7,56.3,3770,5,183,123,22,25,31600
-1,mercedes-benz,gas,std,4,rwd,202.6,71.7,56.5,3740,8,234,155,16,18,34184
3,mercedes-benz,gas,std,2,rwd,180.3,70.5,50.8,3685,8,234,155,16,18,35056
0,mercedes-benz,gas,std,4,rwd,208.1,71.7,56.7,3900,8,308,184,14,16,40960
1,mercedes-benz,gas,std,2,rwd,199.2,72,55.4,3715,8,304,184,14,16,45400
1,mercury,gas,turbo,2,rwd,178.4,68,54.8,2910,4,140,175,19,24,16503
2,mitsubishi,gas,std,2,fwd,157.3,64.4,50.8,1918,4,92,68,37,41,5389
2,mitsubishi,gas,std,2,fwd,157.3,64.4,50.8,1944,4,92,68,31,38,6189
2,mitsubishi,gas,std,2,fwd,157.3,64.4,50.8,2004,4,92,68,31,38,6669
1,mitsubishi,gas,turbo,2,fwd,157.3,63.8,50.8,2145,4,98,102,24,30,7689
3,mitsubishi,gas,turbo,2,fwd,173,65.4,49.4,2370,4,110,116,23,30,9959
3,mitsubishi,gas,std,2,fwd,173,65.4,49.4,2328,4,122,88,25,32,8499
3,mitsubishi,gas,turbo,2,fwd,173.2,66.3,50.2,2833,4,156,145,19,24,12629
3,mitsubishi,gas,turbo,2,fwd,173.2,66.3,50.2,2921,4,156,145,19,24,14869
3,mitsubishi,gas,turbo,2,fwd,173.2,66.3,50.2,2926,4,156,145,19,24,14489
1,mitsubishi,gas,std,4,fwd,172.4,65.4,51.6,2365,4,122,88,25,32,6989
1,mitsubishi,gas,std,4,fwd,172.4,65.4,51.6,2405,4,122,88,25,32,8189
1,mitsubishi,gas,turbo,4,fwd,172.4,65.4,51.6,2403,4,110,116,23,30,9279
-1,mitsubishi,gas,std,4,fwd,172.4,65.4,51.6,2403,4,110,116,23,30,9279
1,nissan,gas,std,2,fwd,165.3,63.8,54.5,1889,4,97,69,31,37,5499
1,nissan,diesel,std,2,fwd,165.3,63.8,54.5,2017,4,103,55,45,50,7099
1,nissan,gas,std,2,fwd,165.3,63.8,54.5,1918,4,97,69,31,37,6649
1,nissan,gas,std,4,fwd,165.3,63.8,54.5,1938,4,97,69,31,37,6849
1,nissan,gas,std,4,fwd,170.2,63.8,53.5,2024,4,97,69,31,37,7349
1,nissan,gas,std,2,fwd,165.3,63.8,54.5,1951,4,97,69,31,37,7299
1,nissan,gas,std,2,fwd,165.6,63.8,53.3,2028,4,97,69,31,37,7799
1,nissan,gas,std,4,fwd,165.3,63.8,54.5,1971,4,97,69,31,37,7499
1,nissan,gas,std,4,fwd,170.2,63.8,53.5,2037,4,97,69,31,37,7999
2,nissan,gas,std,2,fwd,162.4,63.8,53.3,2008,4,97,69,31,37,8249
0,nissan,gas,std,4,fwd,173.4,65.2,54.7,2324,4,120,97,27,34,8949
0,nissan,gas,std,4,fwd,173.4,65.2,54.7,2302,4,120,97,27,34,9549
0,nissan,gas,std,4,fwd,181.7,66.5,55.1,3095,6,181,152,17,22,13499
0,nissan,gas,std,4,fwd,184.6,66.5,56.1,3296,6,181,152,17,22,14399
0,nissan,gas,std,4,fwd,184.6,66.5,55.1,3060,6,181,152,19,25,13499
3,nissan,gas,std,2,rwd,170.7,67.9,49.7,3071,6,181,160,19,25,17199
3,nissan,gas,turbo,2,rwd,170.7,67.9,49.7,3139,6,181,200,17,23,19699
1,nissan,gas,std,2,rwd,178.5,67.9,49.7,3139,6,181,160,19,25,18399
0,peugot,gas,std,4,rwd,186.7,68.4,56.7,3020,4,120,97,19,24,11900
0,peugot,diesel,turbo,4,rwd,186.7,68.4,56.7,3197,4,152,95,28,33,13200
0,peugot,gas,std,4,rwd,198.9,68.4,58.7,3230,4,120,97,19,24,12440
0,peugot,diesel,turbo,4,rwd,198.9,68.4,58.7,3430,4,152,95,25,25,13860
0,peugot,gas,std,4,rwd,186.7,68.4,56.7,3075,4,120,95,19,24,15580
0,peugot,diesel,turbo,4,rwd,186.7,68.4,56.7,3252,4,152,95,28,33,16900
0,peugot,gas,std,4,rwd,198.9,68.4,56.7,3285,4,120,95,19,24,16695
0,peugot,diesel,turbo,4,rwd,198.9,68.4,58.7,3485,4,152,95,25,25,17075
0,peugot,gas,std,4,rwd,186.7,68.4,56.7,3075,4,120,97,19,24,16630
0,peugot,diesel,turbo,4,rwd,186.7,68.4,56.7,3252,4,152,95,28,33,17950
0,peugot,gas,turbo,4,rwd,186.7,68.3,56,3130,4,134,142,18,24,18150
3,porsche,gas,std,2,rwd,168.9,68.3,50.2,2778,4,151,143,19,27,22018
3,porsche,gas,std,2,rwd,168.9,65,51.6,2756,6,194,207,17,25,32528
3,porsche,gas,std,2,rwd,168.9,65,51.6,2756,6,194,207,17,25,34028
3,porsche,gas,std,2,rwd,168.9,65,51.6,2800,6,194,207,17,25,37028
1,porsche,gas,std,2,rwd,175.7,72.3,50.5,3366,8,203,288,17,28,11000
0,renault,gas,std,4,fwd,181.5,66.5,55.2,2579,4,132,100,23,31,9295
2,renault,gas,std,2,fwd,176.8,66.6,50.5,2460,4,132,110,23,31,9895
3,saab,gas,std,2,fwd,186.6,66.5,56.1,2658,4,121,110,21,28,11850
2,saab,gas,std,4,fwd,186.6,66.5,56.1,2695,4,121,110,21,28,12170
3,saab,gas,std,2,fwd,186.6,66.5,56.1,2707,4,121,110,21,28,15040
2,saab,gas,std,4,fwd,186.6,66.5,56.1,2758,4,121,110,21,28,15510
3,saab,gas,turbo,2,fwd,186.6,66.5,56.1,2808,4,121,160,19,26,18150
2,saab,gas,turbo,4,fwd,186.6,66.5,56.1,2847,4,121,160,19,26,18620
2,subaru,gas,std,2,fwd,156.9,63.4,53.7,2050,4,97,69,31,36,5118
2,subaru,gas,std,2,fwd,157.9,63.6,53.7,2120,4,108,73,26,31,7053
2,subaru,gas,std,2,4wd,157.3,63.8,55.7,2240,4,108,73,26,31,7603
0,subaru,gas,std,4,fwd,172,65.4,52.5,2145,4,108,82,32,37,7126
0,subaru,gas,std,4,fwd,172,65.4,52.5,2190,4,108,82,28,33,7775
0,subaru,gas,std,4,fwd,172,65.4,52.5,2340,4,108,94,26,32,9960
0,subaru,gas,std,4,4wd,172,65.4,54.3,2385,4,108,82,24,25,9233
0,subaru,gas,turbo,4,4wd,172,65.4,54.3,2510,4,108,111,24,29,11259
0,subaru,gas,std,4,fwd,173.5,65.4,53,2290,4,108,82,28,32,7463
0,subaru,gas,std,4,fwd,173.5,65.4,53,2455,4,108,94,25,31,10198
0,subaru,gas,std,4,4wd,173.6,65.4,54.9,2420,4,108,82,23,29,8013
0,subaru,gas,turbo,4,4wd,173.6,65.4,54.9,2650,4,108,111,23,23,11694
1,toyota,gas,std,2,fwd,158.7,63.6,54.5,1985,4,92,62,35,39,5348
1,toyota,gas,std,2,fwd,158.7,63.6,54.5,2040,4,92,62,31,38,6338
1,toyota,gas,std,4,fwd,158.7,63.6,54.5,2015,4,92,62,31,38,6488
0,toyota,gas,std,4,fwd,169.7,63.6,59.1,2280,4,92,62,31,37,6918
0,toyota,gas,std,4,4wd,169.7,63.6,59.1,2290,4,92,62,27,32,7898
0,toyota,gas,std,4,4wd,169.7,63.6,59.1,3110,4,92,62,27,32,8778
0,toyota,gas,std,4,fwd,166.3,64.4,53,2081,4,98,70,30,37,6938
0,toyota,gas,std,4,fwd,166.3,64.4,52.8,2109,4,98,70,30,37,7198
0,toyota,diesel,std,4,fwd,166.3,64.4,53,2275,4,110,56,34,36,7898
0,toyota,diesel,std,4,fwd,166.3,64.4,52.8,2275,4,110,56,38,47,7788
0,toyota,gas,std,4,fwd,166.3,64.4,53,2094,4,98,70,38,47,7738
0,toyota,gas,std,4,fwd,166.3,64.4,52.8,2122,4,98,70,28,34,8358
0,toyota,gas,std,4,fwd,166.3,64.4,52.8,2140,4,98,70,28,34,9258
1,toyota,gas,std,2,rwd,168.7,64,52.6,2169,4,98,70,29,34,8058
1,toyota,gas,std,2,rwd,168.7,64,52.6,2204,4,98,70,29,34,8238
1,toyota,gas,std,2,rwd,168.7,64,52.6,2265,4,98,112,26,29,9298
1,toyota,gas,std,2,rwd,168.7,64,52.6,2300,4,98,112,26,29,9538
2,toyota,gas,std,2,rwd,176.2,65.6,52,2540,4,146,116,24,30,8449
2,toyota,gas,std,2,rwd,176.2,65.6,52,2536,4,146,116,24,30,9639
2,toyota,gas,std,2,rwd,176.2,65.6,52,2551,4,146,116,24,30,9989
2,toyota,gas,std,2,rwd,176.2,65.6,52,2679,4,146,116,24,30,11199
2,toyota,gas,std,2,rwd,176.2,65.6,52,2714,4,146,116,24,30,11549
2,toyota,gas,std,2,rwd,176.2,65.6,53,2975,4,146,116,24,30,17669
-1,toyota,gas,std,4,fwd,175.6,66.5,54.9,2326,4,122,92,29,34,8948
-1,toyota,diesel,turbo,4,fwd,175.6,66.5,54.9,2480,4,110,73,30,33,10698
-1,toyota,gas,std,4,fwd,175.6,66.5,53.9,2414,4,122,92,27,32,9988
-1,toyota,gas,std,4,fwd,175.6,66.5,54.9,2414,4,122,92,27,32,10898
-1,toyota,gas,std,4,fwd,175.6,66.5,53.9,2458,4,122,92,27,32,11248
3,toyota,gas,std,2,rwd,183.5,67.7,52,2976,6,171,161,20,24,16558
3,toyota,gas,std,2,rwd,183.5,67.7,52,3016,6,171,161,19,24,15998
-1,toyota,gas,std,4,rwd,187.8,66.5,54.1,3131,6,171,156,20,24,15690
-1,toyota,gas,std,4,rwd,187.8,66.5,54.1,3151,6,161,156,19,24,15750
2,volkswagen,diesel,std,2,fwd,171.7,65.5,55.7,2261,4,97,52,37,46,7775
2,volkswagen,gas,std,2,fwd,171.7,65.5,55.7,2209,4,109,85,27,34,7975
2,volkswagen,diesel,std,4,fwd,171.7,65.5,55.7,2264,4,97,52,37,46,7995
2,volkswagen,gas,std,4,fwd,171.7,65.5,55.7,2212,4,109,85,27,34,8195
2,volkswagen,gas,std,4,fwd,171.7,65.5,55.7,2275,4,109,85,27,34,8495
2,volkswagen,diesel,turbo,4,fwd,171.7,65.5,55.7,2319,4,97,68,37,42,9495
2,volkswagen,gas,std,4,fwd,171.7,65.5,55.7,2300,4,109,100,26,32,9995
3,volkswagen,gas,std,2,fwd,159.3,64.2,55.6,2254,4,109,90,24,29,11595
3,volkswagen,gas,std,2,fwd,165.7,64,51.4,2221,4,109,90,24,29,9980
0,volkswagen,gas,std,4,fwd,180.2,66.9,55.1,2661,5,136,110,19,24,13295
0,volkswagen,diesel,turbo,4,fwd,180.2,66.9,55.1,2579,4,97,68,33,38,13845
0,volkswagen,gas,std,4,fwd,183.1,66.9,55.1,2563,4,109,88,25,31,12290
-2,volvo,gas,std,4,rwd,188.8,67.2,56.2,2912,4,141,114,23,28,12940
-1,volvo,gas,std,4,rwd,188.8,67.2,57.5,3034,4,141,114,23,28,13415
-2,volvo,gas,std,4,rwd,188.8,67.2,56.2,2935,4,141,114,24,28,15985
-1,volvo,gas,std,4,rwd,188.8,67.2,57.5,3042,4,141,114,24,28,16515
-2,volvo,gas,turbo,4,rwd,188.8,67.2,56.2,3045,4,130,162,17,22,18420
-1,volvo,gas,turbo,4,rwd,188.8,67.2,57.5,3157,4,130,162,17,22,18950
-1,volvo,gas,std,4,rwd,188.8,68.9,55.5,2952,4,141,114,23,28,16845
-1,volvo,gas,turbo,4,rwd,188.8,68.8,55.5,3049,4,141,160,19,25,19045
-1,volvo,gas,std,4,rwd,188.8,68.9,55.5,3012,6,173,134,18,23,21485
-1,volvo,diesel,turbo,4,rwd,188.8,68.9,55.5,3217,6,145,106,26,27,22470
-1,volvo,gas,turbo,4,rwd,188.8,68.9,55.5,3062,4,141,114,19,25,22625
